d0,d1,d2,d3,d4,d5,d6,d7,RD,WR,cs,A0,A1,A2,A3,A4,A5,A6,A7,,A,D,RD,WR,CS
0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,,53,96,1,0,0
0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,,54,96,0,0,0
0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,,54,AE,1,0,0
0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,,AE,AE,0,0,0
1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,,AE,21,1,0,0
1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,,55,21,0,0,0
0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,,55,84,1,0,0
0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,,56,84,0,0,0
0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,,56,FE,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,,57,FE,0,0,0
1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,,57,97,1,0,0
1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,,58,97,0,0,0
0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,,58,AE,1,0,0
0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,,AE,AE,0,0,0
0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,,AE,20,0,1,0
0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,,59,20,0,0,0
1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,,59,39,1,0,0
1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,,5A,39,0,0,0
0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,,5A,B6,1,0,0
0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,FF,B6,0,0,0
0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,FF,B6,0,0,0
0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,,DA,B6,0,0,0
1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,,DA,37,1,0,0
1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,,DB,37,0,0,0
1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,,DB,0F,1,0,0
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,0F,0F,0,0,0
0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,,0F,96,1,0,0
0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,,10,96,0,0,0
0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,,10,AC,1,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,,AC,AC,0,0,0
1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,,AC,33,1,0,0
1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,,11,33,0,0,0
1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,,11,85,1,0,0
1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,,12,85,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,,12,80,1,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,,13,80,0,0,0
1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,,13,27,1,0,0
1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,,14,27,0,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,,14,03,1,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,,18,03,0,0,0
1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,,18,85,1,0,0
1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,,19,85,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,,19,10,1,0,0
0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,,1A,10,0,0,0
1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,,1A,27,1,0,0
1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,,1B,27,0,0,0
1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,1B,03,1,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,FF,03,0,0,0
1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,,1C,03,0,0,0
1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,,1C,71,1,0,0
1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,,1D,71,0,0,0
0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,1D,FE,1,0,0
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,,1E,FE,0,0,0
